,VH_y,Team_H,Final_H,Unnamed: 0_x,TEAM_NAME_x,TEAM_ID_x,GP_x,W_x,L_x,W_PCT_x,MIN_x,E_OFF_RATING_x,E_DEF_RATING_x,E_NET_RATING_x,E_PACE_x,E_AST_RATIO_x,E_OREB_PCT_x,E_DREB_PCT_x,E_REB_PCT_x,E_TM_TOV_PCT_x,GP_RANK_x,W_RANK_x,L_RANK_x,W_PCT_RANK_x,MIN_RANK_x,E_OFF_RATING_RANK_x,E_DEF_RATING_RANK_x,E_NET_RATING_RANK_x,E_AST_RATIO_RANK_x,E_OREB_PCT_RANK_x,E_DREB_PCT_RANK_x,E_REB_PCT_RANK_x,E_TM_TOV_PCT_RANK_x,E_PACE_RANK_x,VH_x,Team_V,Final_V,Unnamed: 0_y,TEAM_NAME_y,TEAM_ID_y,GP_y,W_y,L_y,W_PCT_y,MIN_y,E_OFF_RATING_y,E_DEF_RATING_y,E_NET_RATING_y,E_PACE_y,E_AST_RATIO_y,E_OREB_PCT_y,E_DREB_PCT_y,E_REB_PCT_y,E_TM_TOV_PCT_y,GP_RANK_y,W_RANK_y,L_RANK_y,W_PCT_RANK_y,MIN_RANK_y,E_OFF_RATING_RANK_y,E_DEF_RATING_RANK_y,E_NET_RATING_RANK_y,E_AST_RATIO_RANK_y,E_OREB_PCT_RANK_y,E_DREB_PCT_RANK_y,E_REB_PCT_RANK_y,E_TM_TOV_PCT_RANK_y,E_PACE_RANK_y,win,fav
130,1,1610612747,117,18,Los Angeles Lakers,1610612747,38,25,13,0.6579999999999999,1849.0,108.9,103.5,5.4,101.0,17.8,0.23,0.8009999999999999,0.521,0.14800000000000002,3,3,4,4,3,17,1,6,16,13,2,4,25,19,0,1610612741,115,5,Chicago Bulls,1610612741,36,16,20,0.444,1743.0,109.4,110.3,-0.9,103.4,18.6,0.21100000000000002,0.795,0.509,0.154,21,20,18,20,23,16,17,20,9,20,5,13,29,6,1,0
131,1,1610612755,103,6,Philadelphia 76ers,1610612755,38,26,12,0.684,1839.0,110.9,106.0,4.9,103.4,16.9,0.24100000000000002,0.7829999999999999,0.521,0.149,3,2,3,3,5,13,3,7,25,7,13,5,26,6,0,1610612743,115,27,Denver Nuggets,1610612743,37,22,15,0.595,1801.0,114.1,109.8,4.3,99.5,19.0,0.23800000000000002,0.7759999999999999,0.511,0.134,11,8,8,8,12,5,16,8,6,9,17,12,10,28,0,1
132,1,1610612764,124,0,Washington Wizards,1610612764,36,14,22,0.389,1733.0,107.4,112.0,-4.6,106.3,17.4,0.204,0.769,0.48,0.133,21,25,22,25,24,21,27,23,20,22,22,25,8,1,0,1610612748,128,26,Miami Heat,1610612748,38,20,18,0.526,1839.0,106.1,107.1,-1.0,99.8,19.0,0.18,0.77,0.49,0.153,3,10,13,12,5,24,5,22,5,28,21,18,28,25,0,1
133,1,1610612766,113,11,Charlotte Hornets,1610612766,36,18,18,0.5,1733.0,109.6,110.4,-0.8,102.2,19.2,0.24,0.762,0.49700000000000005,0.149,21,16,13,15,24,15,18,19,4,8,28,17,27,12,0,1610612737,105,19,Atlanta Hawks,1610612737,37,17,20,0.45899999999999996,1786.0,111.1,110.9,0.2,100.9,17.5,0.256,0.7759999999999999,0.518,0.141,11,17,18,18,15,10,25,11,19,2,16,6,22,20,1,1
134,1,1610612754,117,10,Indiana Pacers,1610612754,36,16,20,0.444,1748.0,108.5,108.6,-0.1,102.3,18.9,0.19699999999999998,0.7709999999999999,0.483,0.134,21,20,18,20,21,18,13,14,8,23,20,23,11,11,0,1610612756,125,28,Phoenix Suns,1610612756,36,25,11,0.6940000000000001,1748.0,113.5,107.5,6.0,99.0,19.8,0.196,0.787,0.5,0.129,21,3,2,2,21,6,8,5,1,24,9,16,4,29,0,0
135,1,1610612750,122,2,Minnesota Timberwolves,1610612750,37,8,29,0.21600000000000003,1791.0,103.4,110.9,-7.5,104.3,17.8,0.221,0.753,0.47600000000000003,0.139,11,30,30,30,14,27,23,29,17,18,30,28,15,3,0,1610612759,125,14,San Antonio Spurs,1610612759,34,19,15,0.5589999999999999,1642.0,107.9,107.9,-0.1,101.6,18.2,0.18899999999999997,0.784,0.48100000000000004,0.109,29,12,8,10,29,20,9,14,14,27,12,24,1,15,0,1
136,1,1610612749,100,4,Milwaukee Bucks,1610612749,37,23,14,0.622,1776.0,115.1,108.4,6.6,103.5,18.4,0.235,0.7979999999999999,0.525,0.131,11,7,6,7,19,4,12,3,11,11,4,3,6,5,0,1610612739,90,23,Cleveland Cavaliers,1610612739,37,14,23,0.37799999999999995,1801.0,102.4,110.7,-8.4,100.0,16.9,0.25,0.7659999999999999,0.501,0.156,11,25,26,26,12,30,22,30,24,4,23,15,30,24,1,0
137,1,1610612742,112,22,Dallas Mavericks,1610612742,36,19,17,0.528,1733.0,111.0,111.1,-0.1,100.5,17.1,0.192,0.775,0.48700000000000004,0.122,21,12,11,11,24,11,26,14,23,25,18,21,3,22,0,1610612753,98,16,Orlando Magic,1610612753,38,13,25,0.342,1829.0,103.4,110.4,-7.1,101.1,16.6,0.223,0.8029999999999999,0.502,0.13,3,27,27,27,9,26,19,28,26,17,1,14,5,16,1,0
138,1,1610612758,99,8,Sacramento Kings,1610612758,37,15,22,0.405,1781.0,111.7,116.6,-4.9,102.6,18.5,0.23399999999999999,0.757,0.49,0.133,11,24,22,24,16,9,30,25,10,12,29,19,7,9,0,1610612757,125,20,Portland Trail Blazers,1610612757,36,21,15,0.583,1733.0,113.3,114.2,-0.9,100.8,15.1,0.23,0.764,0.489,0.115,21,9,8,9,24,7,29,20,30,14,26,20,2,21,0,1
139,1,1610612765,86,25,Detroit Pistons,1610612765,37,10,27,0.27,1806.0,105.8,110.5,-4.7,99.8,17.7,0.223,0.765,0.486,0.14300000000000002,11,29,29,29,11,25,21,24,18,16,25,22,24,25,0,1610612762,96,17,Utah Jazz,1610612762,37,28,9,0.757,1781.0,115.1,105.8,9.3,101.1,17.4,0.25,0.7859999999999999,0.529,0.142,11,1,1,1,16,3,2,1,21,5,10,2,23,16,0,1
140,1,1610612746,130,24,LA Clippers,1610612746,39,25,14,0.6409999999999999,1872.0,116.1,109.0,7.1,99.8,18.1,0.22699999999999998,0.794,0.518,0.134,1,3,6,6,1,2,14,2,15,15,6,7,9,25,0,1610612741,127,5,Chicago Bulls,1610612741,36,16,20,0.444,1743.0,109.4,110.3,-0.9,103.4,18.6,0.21100000000000002,0.795,0.509,0.154,21,20,18,20,23,16,17,20,9,20,5,13,29,6,1,0
141,1,1610612751,116,9,Brooklyn Nets,1610612751,38,25,13,0.6579999999999999,1849.0,117.3,110.9,6.4,102.5,19.3,0.213,0.778,0.511,0.139,3,3,4,4,3,1,24,4,3,19,14,9,16,10,0,1610612760,129,12,Oklahoma City Thunder,1610612760,38,16,22,0.42100000000000004,1839.0,102.9,108.4,-5.4,102.1,17.1,0.17,0.785,0.48,0.141,3,20,22,22,5,28,11,26,22,30,11,26,21,13,0,0
142,1,1610612752,89,29,New York Knicks,1610612752,39,20,19,0.513,1872.0,106.7,107.0,-0.3,98.3,16.1,0.235,0.792,0.516,0.14,1,10,16,14,1,23,4,17,29,10,8,8,18,30,0,1610612743,114,27,Denver Nuggets,1610612743,37,22,15,0.595,1801.0,114.1,109.8,4.3,99.5,19.0,0.23800000000000002,0.7759999999999999,0.511,0.134,11,8,8,8,12,5,16,8,6,9,17,12,10,28,0,1
143,1,1610612745,102,3,Houston Rockets,1610612745,36,11,25,0.306,1733.0,102.8,108.2,-5.4,104.2,16.2,0.19,0.773,0.46799999999999997,0.14,21,28,27,28,24,29,10,26,28,26,19,30,19,4,0,1610612747,120,18,Los Angeles Lakers,1610612747,38,25,13,0.6579999999999999,1849.0,108.9,103.5,5.4,101.0,17.8,0.23,0.8009999999999999,0.521,0.14800000000000002,3,3,4,4,3,17,1,6,16,13,2,4,25,19,0,1
144,1,1610612750,96,2,Minnesota Timberwolves,1610612750,37,8,29,0.21600000000000003,1791.0,103.4,110.9,-7.5,104.3,17.8,0.221,0.753,0.47600000000000003,0.139,11,30,30,30,14,27,23,29,17,18,30,28,15,3,0,1610612759,88,14,San Antonio Spurs,1610612759,34,19,15,0.5589999999999999,1642.0,107.9,107.9,-0.1,101.6,18.2,0.18899999999999997,0.784,0.48100000000000004,0.109,29,12,8,10,29,20,9,14,14,27,12,24,1,15,1,1
145,1,1610612744,106,1,Golden State Warriors,1610612744,38,19,19,0.5,1829.0,107.2,107.2,0.0,105.4,19.4,0.175,0.763,0.47200000000000003,0.141,3,12,16,15,9,22,6,12,2,29,27,29,20,2,0,1610612761,105,13,Toronto Raptors,1610612761,37,17,20,0.45899999999999996,1776.0,111.0,109.4,1.7,102.1,18.3,0.21,0.7659999999999999,0.48,0.135,11,17,18,18,19,12,15,9,12,21,24,27,13,13,1,1
146,1,1610612739,91,23,Cleveland Cavaliers,1610612739,37,14,23,0.37799999999999995,1801.0,102.4,110.7,-8.4,100.0,16.9,0.25,0.7659999999999999,0.501,0.156,11,25,26,26,12,30,22,30,24,4,23,15,30,24,0,1610612763,101,7,Memphis Grizzlies,1610612763,34,17,17,0.5,1637.0,108.2,107.3,0.9,102.9,19.0,0.242,0.7929999999999999,0.511,0.135,29,17,11,15,30,19,7,10,7,6,7,11,12,8,0,1
147,1,1610612764,128,0,Washington Wizards,1610612764,36,14,22,0.389,1733.0,107.4,112.0,-4.6,106.3,17.4,0.204,0.769,0.48,0.133,21,25,22,25,24,21,27,23,20,22,22,25,8,1,0,1610612756,107,28,Phoenix Suns,1610612756,36,25,11,0.6940000000000001,1748.0,113.5,107.5,6.0,99.0,19.8,0.196,0.787,0.5,0.129,21,3,2,2,21,6,8,5,1,24,9,16,4,29,1,1
148,1,1610612753,99,16,Orlando Magic,1610612753,38,13,25,0.342,1829.0,103.4,110.4,-7.1,101.1,16.6,0.223,0.8029999999999999,0.502,0.13,3,27,27,27,9,26,19,28,26,17,1,14,5,16,0,1610612749,121,4,Milwaukee Bucks,1610612749,37,23,14,0.622,1776.0,115.1,108.4,6.6,103.5,18.4,0.235,0.7979999999999999,0.525,0.131,11,7,6,7,19,4,12,3,11,11,4,3,6,5,0,1
149,1,1610612766,109,11,Charlotte Hornets,1610612766,36,18,18,0.5,1733.0,109.6,110.4,-0.8,102.2,19.2,0.24,0.762,0.49700000000000005,0.149,21,16,13,15,24,15,18,19,4,8,28,17,27,12,0,1610612752,88,29,New York Knicks,1610612752,39,20,19,0.513,1872.0,106.7,107.0,-0.3,98.3,16.1,0.235,0.792,0.516,0.14,1,10,16,14,1,23,4,17,29,10,8,8,18,30,1,0
150,1,1610612737,112,19,Atlanta Hawks,1610612737,37,17,20,0.45899999999999996,1786.0,111.1,110.9,0.2,100.9,17.5,0.256,0.7759999999999999,0.518,0.141,11,17,18,18,15,10,25,11,19,2,16,6,22,20,0,1610612755,94,6,Philadelphia 76ers,1610612755,38,26,12,0.684,1839.0,110.9,106.0,4.9,103.4,16.9,0.24100000000000002,0.7829999999999999,0.521,0.149,3,2,3,3,5,13,3,7,25,7,13,5,26,6,1,0
151,1,1610612757,112,20,Portland Trail Blazers,1610612757,36,21,15,0.583,1733.0,113.3,114.2,-0.9,100.8,15.1,0.23,0.764,0.489,0.115,21,9,8,9,24,7,29,20,30,14,26,20,2,21,0,1610612761,111,13,Toronto Raptors,1610612761,37,17,20,0.45899999999999996,1776.0,111.0,109.4,1.7,102.1,18.3,0.21,0.7659999999999999,0.48,0.135,11,17,18,18,19,12,15,9,12,21,24,27,13,13,1,0
152,1,1610612758,127,8,Sacramento Kings,1610612758,37,15,22,0.405,1781.0,111.7,116.6,-4.9,102.6,18.5,0.23399999999999999,0.757,0.49,0.133,11,24,22,24,16,9,30,25,10,12,29,19,7,9,0,1610612754,122,10,Indiana Pacers,1610612754,36,16,20,0.444,1748.0,108.5,108.6,-0.1,102.3,18.9,0.19699999999999998,0.7709999999999999,0.483,0.134,21,20,18,20,21,18,13,14,8,23,20,23,11,11,1,1
153,1,1610612755,137,6,Philadelphia 76ers,1610612755,38,26,12,0.684,1839.0,110.9,106.0,4.9,103.4,16.9,0.24100000000000002,0.7829999999999999,0.521,0.149,3,2,3,3,5,13,3,7,25,7,13,5,26,6,0,1610612748,134,26,Miami Heat,1610612748,38,20,18,0.526,1839.0,106.1,107.1,-1.0,99.8,19.0,0.18,0.77,0.49,0.153,3,10,13,12,5,24,5,22,5,28,21,18,28,25,1,0
154,1,1610612739,87,23,Cleveland Cavaliers,1610612739,37,14,23,0.37799999999999995,1801.0,102.4,110.7,-8.4,100.0,16.9,0.25,0.7659999999999999,0.501,0.156,11,25,26,26,12,30,22,30,24,4,23,15,30,24,0,1610612762,117,17,Utah Jazz,1610612762,37,28,9,0.757,1781.0,115.1,105.8,9.3,101.1,17.4,0.25,0.7859999999999999,0.529,0.142,11,1,1,1,16,3,2,1,21,5,10,2,23,16,0,1
155,1,1610612751,122,9,Brooklyn Nets,1610612751,38,25,13,0.6579999999999999,1849.0,117.3,110.9,6.4,102.5,19.3,0.213,0.778,0.511,0.139,3,3,4,4,3,1,24,4,3,19,14,9,16,10,0,1610612743,116,27,Denver Nuggets,1610612743,37,22,15,0.595,1801.0,114.1,109.8,4.3,99.5,19.0,0.23800000000000002,0.7759999999999999,0.511,0.134,11,8,8,8,12,5,16,8,6,9,17,12,10,28,1,0
156,1,1610612760,102,12,Oklahoma City Thunder,1610612760,38,16,22,0.42100000000000004,1839.0,102.9,108.4,-5.4,102.1,17.1,0.17,0.785,0.48,0.141,3,20,22,22,5,28,11,26,22,30,11,26,21,13,0,1610612759,112,14,San Antonio Spurs,1610612759,34,19,15,0.5589999999999999,1642.0,107.9,107.9,-0.1,101.6,18.2,0.18899999999999997,0.784,0.48100000000000004,0.109,29,12,8,10,29,20,9,14,14,27,12,24,1,15,0,1
157,1,1610612745,100,3,Houston Rockets,1610612745,36,11,25,0.306,1733.0,102.8,108.2,-5.4,104.2,16.2,0.19,0.773,0.46799999999999997,0.14,21,28,27,28,24,29,10,26,28,26,19,30,19,4,0,1610612747,117,18,Los Angeles Lakers,1610612747,38,25,13,0.6579999999999999,1849.0,108.9,103.5,5.4,101.0,17.8,0.23,0.8009999999999999,0.521,0.14800000000000002,3,3,4,4,3,17,1,6,16,13,2,4,25,19,0,1
158,1,1610612744,95,1,Golden State Warriors,1610612744,38,19,19,0.5,1829.0,107.2,107.2,0.0,105.4,19.4,0.175,0.763,0.47200000000000003,0.141,3,12,16,15,9,22,6,12,2,29,27,29,20,2,0,1610612754,104,10,Indiana Pacers,1610612754,36,16,20,0.444,1748.0,108.5,108.6,-0.1,102.3,18.9,0.19699999999999998,0.7709999999999999,0.483,0.134,21,20,18,20,21,18,13,14,8,23,20,23,11,11,0,0
159,1,1610612765,101,25,Detroit Pistons,1610612765,37,10,27,0.27,1806.0,105.8,110.5,-4.7,99.8,17.7,0.223,0.765,0.486,0.14300000000000002,11,29,29,29,11,25,21,24,18,16,25,22,24,25,0,1610612749,110,4,Milwaukee Bucks,1610612749,37,23,14,0.622,1776.0,115.1,108.4,6.6,103.5,18.4,0.235,0.7979999999999999,0.525,0.131,11,7,6,7,19,4,12,3,11,11,4,3,6,5,0,1
160,1,1610612766,93,11,Charlotte Hornets,1610612766,36,18,18,0.5,1733.0,109.6,110.4,-0.8,102.2,19.2,0.24,0.762,0.49700000000000005,0.149,21,16,13,15,24,15,18,19,4,8,28,17,27,12,0,1610612742,104,22,Dallas Mavericks,1610612742,36,19,17,0.528,1733.0,111.0,111.1,-0.1,100.5,17.1,0.192,0.775,0.48700000000000004,0.122,21,12,11,11,24,11,26,14,23,25,18,21,3,22,0,1
161,1,1610612752,109,29,New York Knicks,1610612752,39,20,19,0.513,1872.0,106.7,107.0,-0.3,98.3,16.1,0.235,0.792,0.516,0.14,1,10,16,14,1,23,4,17,29,10,8,8,18,30,0,1610612751,116,9,Brooklyn Nets,1610612751,38,25,13,0.6579999999999999,1849.0,117.3,110.9,6.4,102.5,19.3,0.213,0.778,0.511,0.139,3,3,4,4,3,1,24,4,3,19,14,9,16,10,0,1
162,1,1610612760,99,12,Oklahoma City Thunder,1610612760,38,16,22,0.42100000000000004,1839.0,102.9,108.4,-5.4,102.1,17.1,0.17,0.785,0.48,0.141,3,20,22,22,5,28,11,26,22,30,11,26,21,13,0,1610612747,128,18,Los Angeles Lakers,1610612747,38,25,13,0.6579999999999999,1849.0,108.9,103.5,5.4,101.0,17.8,0.23,0.8009999999999999,0.521,0.14800000000000002,3,3,4,4,3,17,1,6,16,13,2,4,25,19,0,1
163,1,1610612750,107,2,Minnesota Timberwolves,1610612750,37,8,29,0.21600000000000003,1791.0,103.4,110.9,-7.5,104.3,17.8,0.221,0.753,0.47600000000000003,0.139,11,30,30,30,14,27,23,29,17,18,30,28,15,3,0,1610612763,118,7,Memphis Grizzlies,1610612763,34,17,17,0.5,1637.0,108.2,107.3,0.9,102.9,19.0,0.242,0.7929999999999999,0.511,0.135,29,17,11,15,30,19,7,10,7,6,7,11,12,8,0,0
164,1,1610612758,126,8,Sacramento Kings,1610612758,37,15,22,0.405,1781.0,111.7,116.6,-4.9,102.6,18.5,0.23399999999999999,0.757,0.49,0.133,11,24,22,24,16,9,30,25,10,12,29,19,7,9,0,1610612757,132,20,Portland Trail Blazers,1610612757,36,21,15,0.583,1733.0,113.3,114.2,-0.9,100.8,15.1,0.23,0.764,0.489,0.115,21,9,8,9,24,7,29,20,30,14,26,20,2,21,0,1
165,1,1610612746,111,24,LA Clippers,1610612746,39,25,14,0.6409999999999999,1872.0,116.1,109.0,7.1,99.8,18.1,0.22699999999999998,0.794,0.518,0.134,1,3,6,6,1,2,14,2,15,15,6,7,9,25,0,1610612740,106,15,New Orleans Pelicans,1610612740,38,16,22,0.42100000000000004,1834.0,113.1,113.8,-0.7,101.1,18.2,0.276,0.8,0.537,0.138,3,20,22,22,8,8,28,18,13,1,3,1,14,16,1,0
166,1,1610612755,125,6,Philadelphia 76ers,1610612755,38,26,12,0.684,1839.0,110.9,106.0,4.9,103.4,16.9,0.24100000000000002,0.7829999999999999,0.521,0.149,3,2,3,3,5,13,3,7,25,7,13,5,26,6,0,1610612748,108,26,Miami Heat,1610612748,38,20,18,0.526,1839.0,106.1,107.1,-1.0,99.8,19.0,0.18,0.77,0.49,0.153,3,10,13,12,5,24,5,22,5,28,21,18,28,25,1,0
167,1,1610612761,111,13,Toronto Raptors,1610612761,37,17,20,0.45899999999999996,1776.0,111.0,109.4,1.7,102.1,18.3,0.21,0.7659999999999999,0.48,0.135,11,17,18,18,19,12,15,9,12,21,24,27,13,13,0,1610612766,108,11,Charlotte Hornets,1610612766,36,18,18,0.5,1733.0,109.6,110.4,-0.8,102.2,19.2,0.24,0.762,0.49700000000000005,0.149,21,16,13,15,24,15,18,19,4,8,28,17,27,12,1,0
168,1,1610612759,105,14,San Antonio Spurs,1610612759,34,19,15,0.5589999999999999,1642.0,107.9,107.9,-0.1,101.6,18.2,0.18899999999999997,0.784,0.48100000000000004,0.109,29,12,8,10,29,20,9,14,14,27,12,24,1,15,0,1610612745,109,3,Houston Rockets,1610612745,36,11,25,0.306,1733.0,102.8,108.2,-5.4,104.2,16.2,0.19,0.773,0.46799999999999997,0.14,21,28,27,28,24,29,10,26,28,26,19,30,19,4,0,0
169,1,1610612743,114,27,Denver Nuggets,1610612743,37,22,15,0.595,1801.0,114.1,109.8,4.3,99.5,19.0,0.23800000000000002,0.7759999999999999,0.511,0.134,11,8,8,8,12,5,16,8,6,9,17,12,10,28,0,1610612744,104,1,Golden State Warriors,1610612744,38,19,19,0.5,1829.0,107.2,107.2,0.0,105.4,19.4,0.175,0.763,0.47200000000000003,0.141,3,12,16,15,9,22,6,12,2,29,27,29,20,2,1,0
170,1,1610612757,87,20,Portland Trail Blazers,1610612757,36,21,15,0.583,1733.0,113.3,114.2,-0.9,100.8,15.1,0.23,0.764,0.489,0.115,21,9,8,9,24,7,29,20,30,14,26,20,2,21,0,1610612754,111,10,Indiana Pacers,1610612754,36,16,20,0.444,1748.0,108.5,108.6,-0.1,102.3,18.9,0.19699999999999998,0.7709999999999999,0.483,0.134,21,20,18,20,21,18,13,14,8,23,20,23,11,11,0,0
171,1,1610612739,106,23,Cleveland Cavaliers,1610612739,37,14,23,0.37799999999999995,1801.0,102.4,110.7,-8.4,100.0,16.9,0.25,0.7659999999999999,0.501,0.156,11,25,26,26,12,30,22,30,24,4,23,15,30,24,0,1610612752,103,29,New York Knicks,1610612752,39,20,19,0.513,1872.0,106.7,107.0,-0.3,98.3,16.1,0.235,0.792,0.516,0.14,1,10,16,14,1,23,4,17,29,10,8,8,18,30,1,1
172,1,1610612738,124,21,Boston Celtics,1610612738,37,19,18,0.514,1781.0,110.5,110.5,0.0,100.5,16.4,0.254,0.7759999999999999,0.511,0.139,11,12,13,13,16,14,20,12,27,3,15,10,17,22,0,1610612753,97,16,Orlando Magic,1610612753,38,13,25,0.342,1829.0,103.4,110.4,-7.1,101.1,16.6,0.223,0.8029999999999999,0.502,0.13,3,27,27,27,9,26,19,28,26,17,1,14,5,16,1,0
173,1,1610612749,112,4,Milwaukee Bucks,1610612749,37,23,14,0.622,1776.0,115.1,108.4,6.6,103.5,18.4,0.235,0.7979999999999999,0.525,0.131,11,7,6,7,19,4,12,3,11,11,4,3,6,5,0,1610612742,109,22,Dallas Mavericks,1610612742,36,19,17,0.528,1733.0,111.0,111.1,-0.1,100.5,17.1,0.192,0.775,0.48700000000000004,0.122,21,12,11,11,24,11,26,14,23,25,18,21,3,22,1,0
174,1,1610612760,127,12,Oklahoma City Thunder,1610612760,38,16,22,0.42100000000000004,1839.0,102.9,108.4,-5.4,102.1,17.1,0.17,0.785,0.48,0.141,3,20,22,22,5,28,11,26,22,30,11,26,21,13,0,1610612741,125,5,Chicago Bulls,1610612741,36,16,20,0.444,1743.0,109.4,110.3,-0.9,103.4,18.6,0.21100000000000002,0.795,0.509,0.154,21,20,18,20,23,16,17,20,9,20,5,13,29,6,1,1
175,1,1610612762,116,17,Utah Jazz,1610612762,37,28,9,0.757,1781.0,115.1,105.8,9.3,101.1,17.4,0.25,0.7859999999999999,0.529,0.142,11,1,1,1,16,3,2,1,21,5,10,2,23,16,0,1610612737,92,19,Atlanta Hawks,1610612737,37,17,20,0.45899999999999996,1786.0,111.1,110.9,0.2,100.9,17.5,0.256,0.7759999999999999,0.518,0.141,11,17,18,18,15,10,25,11,19,2,16,6,22,20,1,0
176,1,1610612747,112,18,Los Angeles Lakers,1610612747,38,25,13,0.6579999999999999,1849.0,108.9,103.5,5.4,101.0,17.8,0.23,0.8009999999999999,0.521,0.14800000000000002,3,3,4,4,3,17,1,6,16,13,2,4,25,19,0,1610612740,95,15,New Orleans Pelicans,1610612740,38,16,22,0.42100000000000004,1834.0,113.1,113.8,-0.7,101.1,18.2,0.276,0.8,0.537,0.138,3,20,22,22,8,8,28,18,13,1,3,1,14,16,1,0
177,1,1610612758,100,8,Sacramento Kings,1610612758,37,15,22,0.405,1781.0,111.7,116.6,-4.9,102.6,18.5,0.23399999999999999,0.757,0.49,0.133,11,24,22,24,16,9,30,25,10,12,29,19,7,9,0,1610612746,138,24,LA Clippers,1610612746,39,25,14,0.6409999999999999,1872.0,116.1,109.0,7.1,99.8,18.1,0.22699999999999998,0.794,0.518,0.134,1,3,6,6,1,2,14,2,15,15,6,7,9,25,0,1
178,1,1610612759,103,14,San Antonio Spurs,1610612759,34,19,15,0.5589999999999999,1642.0,107.9,107.9,-0.1,101.6,18.2,0.18899999999999997,0.784,0.48100000000000004,0.109,29,12,8,10,29,20,9,14,14,27,12,24,1,15,0,1610612745,91,3,Houston Rockets,1610612745,36,11,25,0.306,1733.0,102.8,108.2,-5.4,104.2,16.2,0.19,0.773,0.46799999999999997,0.14,21,28,27,28,24,29,10,26,28,26,19,30,19,4,1,0
179,1,1610612751,122,9,Brooklyn Nets,1610612751,38,25,13,0.6579999999999999,1849.0,117.3,110.9,6.4,102.5,19.3,0.213,0.778,0.511,0.139,3,3,4,4,3,1,24,4,3,19,14,9,16,10,0,1610612753,115,16,Orlando Magic,1610612753,38,13,25,0.342,1829.0,103.4,110.4,-7.1,101.1,16.6,0.223,0.8029999999999999,0.502,0.13,3,27,27,27,9,26,19,28,26,17,1,14,5,16,1,0
180,1,1610612761,116,13,Toronto Raptors,1610612761,37,17,20,0.45899999999999996,1776.0,111.0,109.4,1.7,102.1,18.3,0.21,0.7659999999999999,0.48,0.135,11,17,18,18,19,12,15,9,12,21,24,27,13,13,0,1610612766,113,11,Charlotte Hornets,1610612766,36,18,18,0.5,1733.0,109.6,110.4,-0.8,102.2,19.2,0.24,0.762,0.49700000000000005,0.149,21,16,13,15,24,15,18,19,4,8,28,17,27,12,1,0
181,1,1610612763,106,7,Memphis Grizzlies,1610612763,34,17,17,0.5,1637.0,108.2,107.3,0.9,102.9,19.0,0.242,0.7929999999999999,0.511,0.135,29,17,11,15,30,19,7,10,7,6,7,11,12,8,0,1610612755,104,6,Philadelphia 76ers,1610612755,38,26,12,0.684,1839.0,110.9,106.0,4.9,103.4,16.9,0.24100000000000002,0.7829999999999999,0.521,0.149,3,2,3,3,5,13,3,7,25,7,13,5,26,6,1,0
182,1,1610612748,100,26,Miami Heat,1610612748,38,20,18,0.526,1839.0,106.1,107.1,-1.0,99.8,19.0,0.18,0.77,0.49,0.153,3,10,13,12,5,24,5,22,5,28,21,18,28,25,0,1610612765,120,25,Detroit Pistons,1610612765,37,10,27,0.27,1806.0,105.8,110.5,-4.7,99.8,17.7,0.223,0.765,0.486,0.14300000000000002,11,29,29,29,11,25,21,24,18,16,25,22,24,25,0,0
183,1,1610612757,112,20,Portland Trail Blazers,1610612757,36,21,15,0.583,1733.0,113.3,114.2,-0.9,100.8,15.1,0.23,0.764,0.489,0.115,21,9,8,9,24,7,29,20,30,14,26,20,2,21,0,1610612737,106,19,Atlanta Hawks,1610612737,37,17,20,0.45899999999999996,1786.0,111.1,110.9,0.2,100.9,17.5,0.256,0.7759999999999999,0.518,0.141,11,17,18,18,15,10,25,11,19,2,16,6,22,20,1,0
184,1,1610612738,75,21,Boston Celtics,1610612738,37,19,18,0.514,1781.0,110.5,110.5,0.0,100.5,16.4,0.254,0.7759999999999999,0.511,0.139,11,12,13,13,16,14,20,12,27,3,15,10,17,22,0,1610612752,105,29,New York Knicks,1610612752,39,20,19,0.513,1872.0,106.7,107.0,-0.3,98.3,16.1,0.235,0.792,0.516,0.14,1,10,16,14,1,23,4,17,29,10,8,8,18,30,0,0
185,1,1610612742,101,22,Dallas Mavericks,1610612742,36,19,17,0.528,1733.0,111.0,111.1,-0.1,100.5,17.1,0.192,0.775,0.48700000000000004,0.122,21,12,11,11,24,11,26,14,23,25,18,21,3,22,0,1610612741,117,5,Chicago Bulls,1610612741,36,16,20,0.444,1743.0,109.4,110.3,-0.9,103.4,18.6,0.21100000000000002,0.795,0.509,0.154,21,20,18,20,23,16,17,20,9,20,5,13,29,6,0,0
186,1,1610612743,105,27,Denver Nuggets,1610612743,37,22,15,0.595,1801.0,114.1,109.8,4.3,99.5,19.0,0.23800000000000002,0.7759999999999999,0.511,0.134,11,8,8,8,12,5,16,8,6,9,17,12,10,28,0,1610612762,109,17,Utah Jazz,1610612762,37,28,9,0.757,1781.0,115.1,105.8,9.3,101.1,17.4,0.25,0.7859999999999999,0.529,0.142,11,1,1,1,16,3,2,1,21,5,10,2,23,16,0,1
